name,company,location,type,job category
Art Director,Confidential,"Sheraton, Cairo, Egypt","Full Time, On-site",Art Director | Experienced |  Creative/Design/Art |  Marketing/PR/Advertising |  Media/Journalism/Publishing |  art director |  Graphic Design |  Graphic |  Director |  Adobe Photoshop |  Adobe illustrator |  Communication Skills
Store Keeper,Kama Manufacturing,"10th of Ramadan City, Sharqia, Egypt","Full Time, On-site",Store Keeper | Entry Level |  Accounting/Finance |  Logistics/Supply Chain |  Store Keeping |  Logistics |  Warehousing
Technical office Engineer - Furniture(Badr Factory),Amr Helmy Designs,"Badr City, Cairo, Egypt","Full Time, On-site",Technical office Engineer - Furniture(Badr Factory) | Experienced |  Engineering - Construction/Civil/Architecture |  Creative/Design/Art |  Manufacturing/Production |  Furniture |  HOME FURNITURE |  Arts |  Manufacturing |  Industry |  Applied Arts |  Interior Design
Sales Analyst,Alarabia Group,"10th of Ramadan City, Cairo, Egypt","Full Time, On-site",Sales Analyst | Experienced |  IT/Software Development |  Analyst/Research |  Sales/Retail |  business |  Computer Science |  Analysis |  Computer Skills |  Data Analysis |  Information Technology (IT) |  Sales
Order Processing Specialist,Confidential,"Nozha, Cairo, Egypt","Full Time, On-site",Order Processing Specialist | Entry Level |  Customer Service/Support |  Marketing/PR/Advertising |  MS Office |  English |  Logistics |  Microsoft Office |  Purchasing |  Supply Chain
Total Rewards Supervisor,Confidential,"Abu Rawash, Giza, Egypt","Full Time, On-site",Total Rewards Supervisor | Experienced |  Human Resources |  Compensation |  Human Resources (HR) |  Total rewards |  Rewards
Architectural Design Engineer,Bayt El Khebra,"Maadi, Cairo, Egypt","Full Time, On-site",Architectural Design Engineer | Experienced |  Engineering - Construction/Civil/Architecture |  Creative/Design/Art |  Architecture |  Design |  Engineering |  3D |  Adobe Photoshop |  Construction |  Information Technology (IT) |  Management
Senior Performance Marketing,Nahdet Misr Publishing Group,"Giza, Egypt","Full Time, On-site",Senior Performance Marketing | Experienced |  Marketing/PR/Advertising |  E-Marketing |  Digital Marketing |  Social Media |  business |  media |  Marketing |  social |  Google Analytics |  Agile
Chief Accountant (Hospitality - Hotels),Bayt El Khebra,"Maadi, Cairo, Egypt","Full Time, On-site",Chief Accountant (Hospitality - Hotels) | Senior Management |  Accounting/Finance |  Accounting |  English |  ERP systems |  Finance |  Financial Management |  Hospitality |  Hotels |  CMA |  CPA
Social Media Content Specialist,Dakahlia Group,"Nasr City, Cairo, Egypt","Full Time, On-site",Social Media Content Specialist | Entry Level |  Writing/Editorial |  Marketing/PR/Advertising |  Media/Journalism/Publishing |  Content Creation |  Marketing |  Social Media |  Social Media Advertising |  English |  Communication skills
Sales & Marketing Executive,Al Baraka for import & insulation supply,"Nasr City, Cairo, Egypt","Full Time, Hybrid",Sales & Marketing Executive | Experienced |  Sales/Retail |  Marketing |  Sales |  Communication |  CRM |  sales skills |  Sales Target |  Engineering
Logistics Import Specialist,EgyptianEuropean,"6th of October, Giza, Egypt","Full Time, On-site",Logistics Import Specialist | Experienced |  Logistics/Supply Chain |  Import |  Logistics |  Customs Clearance |  Communication skills |  Team Leadership
Accounting Staff,EgyptianEuropean,"6th of October, Giza, Egypt","Full Time, On-site",Accounting Staff | Experienced |  Accounting/Finance |  Sales/Retail |  Purchasing/Procurement |  SAP Business One |  Microsoft Excel |  Financial Reports |  Banking Services |  Accounts Receivable |  Accounts Reconciliation |  Accounts Payable
Financial Manager,Informatique Education,"Nasr City, Cairo, Egypt","Full Time, On-site",Financial Manager | Manager |  Accounting/Finance |  IT/Software Development |  Accounting |  Finance |  Financial Analysis |  Financial Management |  Financial Manager |  Manager |  Financial
Scrum Master,Confidential,"6th of October, Giza, Egypt","Full Time, Hybrid",Scrum Master | Experienced |  IT/Software Development |  Project/Program Management |  Engineering - Telecom/Technology |  Agile |  Computer Science |  CSM |  Development |  Information Technology (IT) |  JIRA |  Management
Graphic Designer &Video editor,Scientific Gate,"Nasr City, Cairo, Egypt","Full Time, On-site",Graphic Designer &Video editor | Entry Level |  Creative/Design/Art |  Marketing/PR/Advertising |  Media/Journalism/Publishing |  Adobe illustrator |  Adobe Photoshop |  After Effects |  Design |  Creative |  Graphic |  Graphic Design
Site Engineer (Civil),IKK GROUP (KCG ABUILD),"Cairo, Egypt","Full Time, On-site",Site Engineer (Civil) | Experienced |  Engineering - Construction/Civil/Architecture |  AutoCAD |  Civil |  Civil Engineering |  Communication |  Communication skills |  Construction |  Engineering |  Safety |  Site
Senior Commercial Engineer,Confidential,"New Cairo, Cairo, Egypt","Full Time, On-site",Senior Commercial Engineer | Experienced |  Engineering - Telecom/Technology |  Engineering - Mechanical/Electrical |  communications |  Construction |  construction projects |  Engineering |  Commercial Sales
Maintenance Manager,IKK GROUP (KCG ABUILD),"Cairo, Egypt","Full Time, On-site",Maintenance Manager | Experienced |  Installation/Maintenance/Repair |  Operations/Management |  Engineering - Mechanical/Electrical |  Construction |  Maintenance |  Maintenance Management |  Management |  Engineering |  Mechanical Engineering |  Software
R&D Specialist,Ovo Egypt,"6th of October, Giza, Egypt","Full Time, On-site",R&D Specialist | Experienced |  R&D/Science |  Quality |  Food |  food safety |  R&amp;D |  Research |  Science |  Safety |  Management
Senior Cost Control Engineer,IKK GROUP (KCG ABUILD),"Cairo, Egypt","Full Time, On-site",Senior Cost Control Engineer | Experienced |  Engineering - Construction/Civil/Architecture |  Engineering - Telecom/Technology |  Construction |  Cost |  Cost Control |  Engineering |  ERP |  Information Technology (IT) |  Primavera |  Management
3 D Modeler,Azza Fahmy Jewellery,"6th of October, Giza, Egypt","Full Time, On-site",3 D Modeler | Experienced |  Creative/Design/Art |  Communication skills |  Rhino |  Design |  CAD |  CAD/CAM
Junior Cost Control Engineer,IKK GROUP (KCG ABUILD),"Cairo, Egypt","Full Time, On-site",Junior Cost Control Engineer | Experienced |  Engineering - Construction/Civil/Architecture |  Engineering - Mechanical/Electrical |  Construction |  Cost |  Control |  Cost Control |  ERP |  Primavera |  Software |  excel
Senior Technical Support Engineer,Universities of Canada in Egypt,"New Capital, Cairo, Egypt","Full Time, On-site",Senior Technical Support Engineer | Experienced |  Installation/Maintenance/Repair |  IT/Software Development |  Engineering - Telecom/Technology |  Cisco |  Communication skills |  computer |  Computer Science |  Engineering |  Hardware |  Information Technology (IT)
Financial Planning and Analysis Manager,Wadi Group,"Sheikh Zayed, Giza, Egypt","Full Time, On-site",Financial Planning and Analysis Manager | Manager |  Accounting/Finance |  Operations/Management |  Analyst/Research |  Accounting |  Finance |  Financial Analysis |  Financial Management |  Planning
Sales Engineering Construction,Confidential,"Mohandessin, Giza, Egypt","Full Time, On-site",Sales Engineering Construction | Experienced |  Engineering - Mechanical/Electrical |  Engineering |  Firefighting System |  sales outdoor |  Mechanical Engineering |  Construction Field |  pluming |  Valves |  drains |  sales skills
Front End Developer,Crevisoft Corporation,"Maadi, Cairo, Egypt","Full Time, On-site",Front End Developer | Experienced |  IT/Software Development |  Computer Science |  CSS |  front-end |  Information Technology (IT) |  JavaScript |  React |  Software Development |  UI |  Software
Facility Engineer,Egypro FME,"6th of October, Giza, Egypt","Full Time, On-site",Facility Engineer | Experienced |  Engineering - Mechanical/Electrical |  Facility Management |  Mechanical Engineering |  Electrical Engineering |  MEP |  HVAC |  Maintenance Engineering |  Light Current |  Pumps |  Air Conditioning (AC)
Full Stack PHP and React Developer,Kabshk,"Makkah, Saudi Arabia","Full Time, Remote",Full Stack PHP and React Developer | Experienced |  IT/Software Development |  Software Development |  Information Technology (IT) |  Computer Science
Marketing Executive,El Mostakbal Co.,"Nasr City, Cairo, Egypt","Full Time, On-site",Marketing Executive | Experienced |  Marketing/PR/Advertising |  Digital Marketing |  Market Research |  Marketing |  SEM |  SEO |  B2B |  Communication |  Digital |  digital marketing
Business Development Executive,El Mostakbal Co.,"Nasr City, Cairo, Egypt","Full Time, On-site",Business Development Executive | Experienced |  Business Development |  Sales/Retail |  business |  Business Development |  Sales |  Sales Executive |  Communication |  Development |  Negotiation |  sales skills
Secretary,Zeta,"Sheikh Zayed, Giza, Egypt","Full Time, On-site",Secretary | Experienced |  Administration |  Operations/Management |  Administration |  Management |  MS |  Secretary
SME Senior Credit Risk reviewer,Erada,"Cairo, Egypt","Full Time, On-site",SME Senior Credit Risk reviewer | Experienced |  Other |  Credit Risk |  Credit Analyst |  Credit Reviwer
Procurement Intern,Easy Group For Health and Beauty Care,"Smouha, Alexandria, Egypt","Internship, On-site",Procurement Intern | Entry Level |  Purchasing/Procurement |  Procurement |  Purchasing |  Supply Chain
SAP Consultant,egabi solutions,"Sheraton, Cairo, Egypt","Full Time, Hybrid",SAP Consultant | Experienced |  IT/Software Development |  ABAP |  Computer Science |  Implementation |  Information Technology (IT) |  SAP |  SAP MM |  SAP4HANA |  SAP FICO-SAP Basis-SAP HCM-SAP EWM |  SAP FICO
Construction & Project Management Manager,Mantrac,"10th of Ramadan City, Cairo, Egypt","Full Time, On-site",Construction & Project Management Manager | Manager |  Engineering - Construction/Civil/Architecture |  Project/Program Management |  Construction |  Engineering |  Civil Engineering |  Project Management |  PMP |  Architecture |  Project
Freight Forwarding Sales Manager.,INTERLOG,"Bab Sharq, Alexandria, Egypt","Full Time, On-site",Freight Forwarding Sales Manager. | Manager |  Customer Service/Support |  Logistics/Supply Chain |  Sales/Retail |  Freight Forwarding |  Logistics |  Supply Chain |  Operations |  English |  Customer Service |  Communication skills
Freight Forwarding Sales Supervisor - Cairo Branch,INTERLOG,"Nasr City, Cairo, Egypt","Full Time, On-site",Freight Forwarding Sales Supervisor - Cairo Branch | Experienced |  Customer Service/Support |  Logistics/Supply Chain |  Sales/Retail |  Freight Forwarding |  Logistics |  Supply Chain |  Operations |  English |  Customer Service |  Communication skills
Senior Digital Marketing,Naguib Selim,"Nasr City, Cairo, Egypt","Full Time, On-site",Senior Digital Marketing | Manager |  Marketing/PR/Advertising |  Sales/Retail |  Media/Journalism/Publishing |  Digital |  Digital Marketing |  SEO |  SEM |  digital marketing |  E-Marketing |  Marketing
General Accountant,Naguib Selim,"Nasr City, Cairo, Egypt","Full Time, On-site",General Accountant | Experienced |  Accounting/Finance |  Finance |  Accounting |  Financial Analysis
Telesales Representative,ElEzaby Automotive,"6th of October, Giza, Egypt","Full Time, On-site",Telesales Representative | Entry Level |  Sales/Retail |  Communication |  CRM |  CRM Software |  Negotiation |  negotiation skills |  Sales |  sales skills |  Telesales
Executive (local store marketing),Raya Distribution,"Maadi, Cairo, Egypt","Full Time, On-site",Executive (local store marketing) | Experienced |  Marketing/PR/Advertising |  Interpersonal skills |  Communication |  Trade |  Marketing
Legal Specialist,Azza Fahmy Jewellery,"6th of October, Giza, Egypt","Full Time, On-site",Legal Specialist | Experienced |  Legal |  Legal |  Law
Sales & Marketing Executive,Triple A for Trading,"Heliopolis, Cairo, Egypt","Full Time, On-site",Sales & Marketing Executive | Entry Level |  Engineering - Mechanical/Electrical |  Sales |  Sales Target |  Analysis |  CRM |  Market Research |  Marketing |  media |  sales skills |  Social Media
Export logistics manager,Confidential,"10th of Ramadan City, Sharqia, Egypt","Full Time, On-site",Export logistics manager | Manager |  Logistics/Supply Chain |  Logistics |  Supply Chain |  supply chain management
Architectural Technical Office Engineer,Jidaar Construction,"New Cairo, Cairo, Egypt","Full Time, On-site",Architectural Technical Office Engineer | Experienced |  Engineering - Construction/Civil/Architecture |  Creative/Design/Art |  Project/Program Management |  Architecture |  architectural |  Construction |  Engineering |  AutoCAD |  Architectural Design |  Communication
Full Stack WordPress Developer,TopLine,"Cairo, Egypt","Full Time, Remote",Full Stack WordPress Developer | Experienced |  IT/Software Development |  Engineering - Telecom/Technology |  Bootstrap |  Agile |  jQuery |  Computer Science |  Development |  CSS |  HTML |  Information Technology (IT)
Projects Engineer Coordinator,Confidential,"Giza, Egypt","Full Time, On-site",Projects Engineer Coordinator | Experienced |  Engineering - Construction/Civil/Architecture |  Project/Program Management |  Engineering - Mechanical/Electrical |  Engineering |  Project |  Project Management |  technical |  AutoCAD |  Communication |  Management
Accounting Manager,IBIC Group,"New Cairo, Cairo, Egypt","Full Time, On-site",Accounting Manager | Manager |  Accounting/Finance |  Accounting |  Financial Management |  Financial Analysis |  Tax |  analytical |  Communication
Estimation Teamleader- Steel Fabrication,Saudifirmness,"Katameya, Cairo, Egypt","Full Time, On-site",Estimation Teamleader- Steel Fabrication | Experienced |  Engineering - Construction/Civil/Architecture |  Engineering - Other |  Construction |  Engineering |  Estimation |  Steel |  Mechanical Engineering |  Steel Fabrication |  Cost Estimation |  piping
Senior .NET Developer,Integrated Technology Group,"Heliopolis, Cairo, Egypt","Full Time, On-site",Senior .NET Developer | Experienced |  Business Development |  IT/Software Development |  Engineering - Telecom/Technology |  .Net |  .net Developer |  developer |  Information Technology (IT) |  senior |  NET |  Software Engineering
Marketing Manager,Sidra,"Cairo, Egypt","Full Time, On-site",Marketing Manager | Manager |  Marketing/PR/Advertising |  Media/Journalism/Publishing |  Business Analytics |  Marketing Campaigns |  Online Marketing |  AdWords |  Analytics |  campaigns |  Google Adwords |  Google Analytics
Hotel Front Desk Receptionist,Sun Pyramids Tours,"Faisal, Giza, Egypt","Full Time, On-site",Hotel Front Desk Receptionist | Experienced |  Hospitality/Hotels/Food Services |  Communication |  Front desk |  Booking |  Hotel Management |  receptionist |  hotel |  Microsoft Office
Tourism Accountant,Sun Pyramids Tours,"Faisal, Giza, Egypt","Full Time, On-site",Tourism Accountant | Experienced |  Accounting/Finance |  Accounting |  Finance |  General Ledger |  Tourism
Media buyer,Sun Pyramids Tours,"Haram, Giza, Egypt","Full Time, On-site",Media buyer | Experienced |  Marketing/PR/Advertising |  Media/Journalism/Publishing |  Communication skills |  Advertising |  campaigns |  digital marketing |  media |  Media Buying
SEO & Media buying Specialist,Egyptian Packaging and Plastic Systems Corp,"Manial, Cairo, Egypt","Full Time, On-site",SEO & Media buying Specialist | Experienced |  Marketing/PR/Advertising |  Digital Advertising |  Online Advertising |  Web Advertising |  Advertising |  Advertising Campaigns |  Advertising Media |  Facebook Advertising |  Marketing Campaigns |  Promotional Campaigns
Content Creator (English & Arabic ),Egyptian Packaging and Plastic Systems Corp,"Manial, Cairo, Egypt","Full Time, Part Time, On-site",Content Creator (English & Arabic ) | Experienced |  Writing/Editorial |  Content Creation |  content creating |  Digital Marketing |  Content Editing |  Copy Editing |  Social Media |  Content Writing |  content creator |  Content Marketing
Multimedia Designer,Egyptian Packaging and Plastic Systems Corp,"Manial, Cairo, Egypt","Full Time, Part Time, On-site",Multimedia Designer | Experienced |  Creative/Design/Art |  Multimedia |  Multimedia Design |  Adobe Photoshop |  Adobe Photoshop CC |  Adobe illustrator |  Adobe Premiere Pro |  Adobe Indesign |  Graphic Web Design |  Graphic Design
planning engineering,MCV,"Alsalihiyyah Aljadidah, Sharqia, Egypt","Full Time, On-site",planning engineering | Entry Level |  Manufacturing/Production |  Engineering - Mechanical/Electrical |  Engineering - Other |  Planning |  Strategy Planning |  Business Planning
Compliance Officer,Al Ahly capital holding  Al Ahly Tamkeen,"Zamalek, Cairo, Egypt","Full Time, On-site",Compliance Officer | Entry Level |  Banking |  Legal |  Operations/Management |  Compliance |  Accounting |  business |  Compliance Management |  Financial Services |  microfinance |  Internal Control
Finance Manager,Confidential,"Nasr City, Cairo, Egypt","Full Time, On-site",Finance Manager | Manager |  Accounting/Finance |  Banking |  Finance |  Accounting |  Financial Management |  Accounts |  Financial Analysis |  CMA |  Commerce
Receivables Accountant,Hifz Academy,"New Damietta, Damietta, Egypt","Full Time, On-site",Receivables Accountant | Experienced |  Accounting/Finance |  Banking |  Accounting |  Communication skills |  Customer Care |  Customer Service |  CRM |  Customer Support |  Communication |  business
Parts and Service Sales Engineer,Triangle Energy,"6th of October, Giza, Egypt","Full Time, On-site",Parts and Service Sales Engineer | Entry Level |  Sales/Retail |  Mechanical Engineering |  sales skills |  Communication |  CRM |  Microsoft Office |  Sales |  Service
Sales Representative,DT4IT,"6th of October, Giza, Egypt","Full Time, On-site",Sales Representative | Entry Level |  Sales/Retail |  Sales |  sales skills |  Communication |  business |  Communication skills |  Customer Service |  English |  Experience |  OR
Health and safety engineer,MCV,"Alsalihiyyah Aljadidah, Sharqia, Egypt","Full Time, On-site","Health and safety engineer | Experienced |  Engineering - Construction/Civil/Architecture |  Health, Safety and Environment |  Safety |  Fire Safety |  Environment, Health, and Safety (EHS) |  Safety Management System"
Mechanical Technical Office Engineer,United Engineering company,"Giza, Egypt","Full Time, On-site",Mechanical Technical Office Engineer | Experienced |  Engineering - Mechanical/Electrical |  AutoCAD |  Communication |  CAD |  Mechanical Engineering |  Mechanical |  Technical Office |  Technical Office Engineering |  technical
Technical Sales Specialist,HCHSupplyEgypt,"Cairo, Egypt","Full Time, Hybrid",Technical Sales Specialist | Entry Level |  Marketing/PR/Advertising |  Sales/Retail |  Communication |  B2B |  Communication skills |  sales skills |  Sales |  Marketing |  Customer Service |  technical
Mechanical Technical Office Engineer,Ready Pack Technology,"Obour City, Cairo, Egypt","Full Time, On-site",Mechanical Technical Office Engineer | Entry Level |  Sales/Retail |  Engineering - Mechanical/Electrical |  Engineering - Other |  Mechanical Engineering |  Engineering |  Microsoft Office |  technical
Sales E Commerce Specialist,Mobilcom,"Cairo, Egypt","Full Time, On-site",Sales E Commerce Specialist | Experienced |  Sales/Retail |  Sales |  Sales Support |  E-Commerce |  Communication
Accounts Payable Specialist,Selah ElTelmeez For Publishing & printing,"Obour City, Cairo, Egypt","Full Time, On-site",Accounts Payable Specialist | Experienced |  Accounting/Finance |  ERP |  excel |  Finance |  General Ledger |  Treasury
IT Specialist,Rotografia,"6th of October, Giza, Egypt","Full Time, On-site",IT Specialist | Entry Level |  Installation/Maintenance/Repair |  IT/Software Development |  Engineering - Telecom/Technology |  Information Systems |  Computer Science |  Troubleshooting |  Information Technology (IT) |  Technical Support |  Computer Engineering |  Systems
Procurement Specialist,Rotografia,"Sheikh Zayed, Giza, Egypt","Full Time, On-site",Procurement Specialist | Entry Level |  Administration |  Logistics/Supply Chain |  Purchasing/Procurement |  Logistics |  Purchasing |  Business Administration |  Supply Chain |  Procurement |  Microsoft Office |  Internet
Senior SharePoint Developer,LINK Development,"Maadi, Cairo, Egypt","Full Time, Hybrid",Senior SharePoint Developer | Experienced |  IT/Software Development |  Engineering - Telecom/Technology |  .Net |  ASP.Net |  Computer Science |  Information Technology (IT) |  Software Development |  Software Engineering |  Sharepoint |  sharepoint online
Warehouse Supervisor,Sky logistics,"Port Fuad, Port Said, Egypt","Full Time, On-site",Warehouse Supervisor | Experienced |  Logistics/Supply Chain |  Operations/Management |  ERP |  Warehousing |  Supply Chain |  Warehouse |  Operations |  Logistics |  Inventory Management |  Inventory Control
Senior Graphic Designer,Vision Cosmetics,"Nasr City, Cairo, Egypt","Full Time, On-site",Senior Graphic Designer | Experienced |  Creative/Design/Art |  Marketing/PR/Advertising |  Media/Journalism/Publishing |  Adobe illustrator |  Adobe Photoshop |  Advertising |  Design |  Arts |  Digital Marketing |  digital marketing
production steel manager,Confidential,"Belbes, Sharqia, Egypt","Full Time, On-site",production steel manager | Manager |  Operations/Management |  Manufacturing/Production |  Engineering - Mechanical/Electrical |  Management |  Production |  Steel |  Engineering |  Manufacturing
Sales Representative,Radwan El Ogail Stores,"Dokki, Giza, Egypt","Full Time, On-site",Sales Representative | Entry Level |  Sales/Retail |  Sales |  sales skills |  Experience |  Sales Target |  Sales Planning |  Sales Field |  Sales Plans |  watches |  Fashion
English Instructors - Maadi Branch,SYE English Community,"Maadi, Cairo, Egypt","Full Time, Part Time, Freelance / Project, On-site",English Instructors - Maadi Branch | Experienced |  Education/Teaching |  Training/Instructor |  Teaching |  English Teaching |  Professional Teaching Certificate |  Teaching Certificate |  Interpersonal skills |  Instructor |  Education |  TEFL
English Instructors - Dokki Branch,SYE English Community,"Dokki, Giza, Egypt","Full Time, Part Time, Freelance / Project, On-site",English Instructors - Dokki Branch | Experienced |  Education/Teaching |  Training/Instructor |  Teaching |  English Teaching |  Professional Teaching Certificate |  Instructing |  Teaching Certificate |  Education |  Instructor |  TEFL
Placement Test specialist ( Ex. English Instructor),SYE English Community,"Dokki, Giza, Egypt","Full Time, Part Time, Shift Based, On-site",Placement Test specialist ( Ex. English Instructor) | Entry Level |  Administration |  Education/Teaching |  Training/Instructor |  Education |  Teaching |  CELTA |  TEFL |  Communication skills |  Training |  Testing
Computer Vision Engineer,RTR Software Solutions,"Nasr City, Cairo, Egypt","Full Time, On-site",Computer Vision Engineer | Experienced |  IT/Software Development |  Communication |  Communication skills |  Computer Science |  Engineering |  English |  Information Technology (IT) |  Development |  Management |  technical
Resident Construction Engineer,PAVILLION ARCHITECTS,"Sheikh Zayed, Giza, Egypt","Full Time, On-site",Resident Construction Engineer | Manager |  Engineering - Construction/Civil/Architecture |  architect engineering |  Civil |  Civil Engineering |  Architecture |  Construction Management |  Construction |  Architect |  Engineering |  engineer
Sales Engineer,R & E Petroleum Service Company,"Stanley, Alexandria, Egypt","Full Time, On-site",Sales Engineer | Entry Level |  Sales/Retail |  Engineering - Mechanical/Electrical |  Sales |  Mechanical Engineering |  sales skills |  negotiation skills |  Engineering |  Purchasing |  Service |  Sales Target
Senior Market Researcher,Etqan Consultancy,"Cairo, Egypt","Full Time, On-site",Senior Market Researcher | Experienced |  Marketing/PR/Advertising |  Analyst/Research |  Business Administration |  Data Analysis |  E-Marketing |  English |  Market Research |  Marketing |  Research |  Social Media
Marketing Specialist,Etqan Consultancy,"Cairo, Egypt","Full Time, On-site",Marketing Specialist | Experienced |  Marketing/PR/Advertising |  Media/Journalism/Publishing |  Communication |  E-Marketing |  Google Adwords |  HTML |  Market Research |  Marketing |  SEO |  Social Media
Account Manager,Mobilcom,"Cairo, Egypt","Full Time, On-site",Account Manager | Experienced |  Sales/Retail |  Administration |  account manager |  sales skills |  Sales |  Sales Target |  Negotiation |  Communication
System Administrator,Xceed Contact Center,"Smart Village, Giza, Egypt","Full Time, On-site",System Administrator | Entry Level |  Installation/Maintenance/Repair |  IT/Software Development |  Engineering - Telecom/Technology |  Communication |  Communication skills |  Software |  Engineering |  Information Technology (IT) |  System Administration |  Computer Science
Mid Level Backend Developer{.Net Core}.,RTR Software Solutions,"Nasr City, Cairo, Egypt","Full Time, On-site",Mid Level Backend Developer{.Net Core}. | Experienced |  IT/Software Development |  Computer Science |  Git |  Communication skills |  Microsoft SQL Server |  C# |  Azure |  ASP.Net |  Agile |  Information Technology (IT)
Procurement Specialist,HCHSupplyEgypt,"Cairo, Egypt","Full Time, On-site",Procurement Specialist | Experienced |  Administration |  Logistics/Supply Chain |  Purchasing/Procurement |  Analysis |  Industrial |  Logistics |  Management |  Procurement |  Skills |  Supply Chain
Digital Marketing Manager,Vision Cosmetics,"Nasr City, Cairo, Egypt","Full Time, On-site",Digital Marketing Manager | Manager |  Marketing/PR/Advertising |  Medical/Healthcare |  Communication |  Digital |  Digital Marketing |  digital marketing |  digital media |  E-Commerce |  E-Marketing |  Management
Barista,Shorouk Specialised Hospital  (Swiss Management),"Shorouk City, Cairo, Egypt","Full Time, On-site",Barista | Entry Level |  Hospitality/Hotels/Food Services |  Food Services |  Hospitality |  Barista |  Healthcare |  Hospital
Quality Manager,Confidential,"New Cairo, Cairo, Egypt","Full Time, On-site",Quality Manager | Manager |  Administration |  Operations/Management |  Quality |  Quality Assurance |  Healthcare |  Management |  Quality Control |  Medical |  Communication |  Control
IT Application Support Manager,Kgroup,"Heliopolis, Cairo, Egypt","Full Time, On-site",IT Application Support Manager | Manager |  IT/Software Development |  ERP |  Application Support |  ERP Applications |  ERP Solutions |  ERP System |  SFA |  Dynamics 365 |  Sales buzz |  Information Technology (IT)
Customer Relation Specialist,Mission Consulting,"Obour City, Cairo, Egypt","Full Time, On-site",Customer Relation Specialist | Entry Level |  Customer Service/Support |  Marketing/PR/Advertising |  Sales/Retail |  Communication |  Social Media |  Customer Service |  CRM |  Support Specialist |  Customer Care |  Sales
Archiving Specialist,Talaat Moustafa Group,"Cairo, Egypt","Full Time, On-site",Archiving Specialist | Entry Level |  Accounting/Finance |  Admin |  Administration |  Archiving |  Finance
Graphic Designer,solo sauce,"Cairo, Egypt","Full Time, On-site",Graphic Designer | Experienced |  Creative/Design/Art |  Hospitality/Hotels/Food Services |  Marketing/PR/Advertising |  Digital Marketing |  Digital Art
Interior Designer,constrade,"New Cairo, Cairo, Egypt","Full Time, On-site",Interior Designer | Experienced |  Engineering - Construction/Civil/Architecture |  Creative/Design/Art |  3D |  3d max |  Architecture |  Design |  Furniture |  Interior |  Interior Design
Call Center Agent,ariika,"New Cairo, Cairo, Egypt","Full Time, On-site",Call Center Agent | Experienced |  Customer Service/Support |  Operations/Management |  Sales/Retail |  Customer Service |  Customer Care |  Customer Support |  Call Center |  Microsoft Office |  Sales |  Communication
Telesales Representative,DT4IT,"6th of October, Giza, Egypt","Full Time, On-site",Telesales Representative | Experienced |  Sales/Retail |  Sales |  Sales Target |  Sales Skills |  Customer Service |  Customer Care |  Customer Support |  Telesales |  Telemarketing |  CRM
Property Advisor,al ashraaf developments,"Obour City, Cairo, Egypt","Full Time, On-site",Property Advisor | Experienced |  Business Development |  Sales/Retail |  Real Estate |  Sales |  sales skills |  Sales Target |  Communication |  ERP System
Warehouse Manager,Eshratex,"Bourj Alarab, Alexandria, Egypt","Full Time, On-site",Warehouse Manager | Manager |  Logistics/Supply Chain |  Operations/Management |  inventory |  Warehouse |  Warehouse Management |  Supply Chain |  Logistics |  Warehousing
External Auditor,Confidential,"Riyadh, Saudi Arabia","Full Time, Remote",External Auditor | Experienced |  Accounting/Finance |  Auditing |  External Auditing |  IFRS
Senior Software QC Engineer,Future Face,"Nasr City, Cairo, Egypt","Full Time, Hybrid",Senior Software QC Engineer | Experienced |  IT/Software Development |  Quality |  Engineering - Telecom/Technology |  Engineering |  Software Testing |  Computer Science |  Information Technology (IT) |  DevOps |  Azure |  TFS
Site Engineer ( FINISHING ),constrade,"New Cairo, Cairo, Egypt","Full Time, On-site",Site Engineer ( FINISHING ) | Experienced |  Engineering - Construction/Civil/Architecture |  Creative/Design/Art |  Customer Service/Support |  Engineering |  Architecture Engineering |  Architecture |  Site Engineer |  Site
Center Quality Assurance Specialist (Haram),Grifols Egypt for Plasma Derivatives,"Haram, Giza, Egypt","Full Time, On-site",Center Quality Assurance Specialist (Haram) | Experienced |  Medical/Healthcare |  Quality |  English |  Quality Assurance |  quality |  QA
Social Media Specialist,Sam3ny Events & Media production,"Shorouk City, Cairo, Egypt","Full Time, On-site",Social Media Specialist | Experienced |  Marketing/PR/Advertising |  Media/Journalism/Publishing |  Advertising |  Copywriting |  E-Marketing |  facebook |  Content |  Management |  Social Media |  media
Public Relations Executive,Sam3ny Events & Media production,"Shorouk City, Cairo, Egypt","Full Time, On-site",Public Relations Executive | Experienced |  Marketing/PR/Advertising |  Marketing |  Public Relations (PR) |  Social Media |  Communication |  media |  social |  PR
Legal Manager,Confidential,"Cairo, Egypt","Full Time, On-site",Legal Manager | Experienced |  Administration |  Legal |  Administration |  Law |  Legal |  Management |  Operations
Administrative Secretary,United Group Steel,"Qalubia, Egypt","Full Time, On-site",Administrative Secretary | Experienced |  Administration |  Secretary |  Administration |  Microsoft Office |  Office management
Cost Accountant,Confidential,"New Cairo, Cairo, Egypt","Full Time, On-site",Cost Accountant | Experienced |  Accounting/Finance |  Logistics/Supply Chain |  Analyst/Research |  accountant |  Accounting |  Accounting Software |  analytical |  Cost |  Cost Accountant |  Cost Accounting
Landscape Technical Office Engineer,Dorra Group,"Sheikh Zayed, Giza, Egypt","Full Time, On-site",Landscape Technical Office Engineer | Experienced |  Other |  Agriculture |  Construction |  AutoCAD |  Landscape |  Technical Office
