name,company,location,type,job category
Dark Store Operations Associate,Happet,"Sheikh Zayed, Giza, Egypt","Full Time, On-site",Dark Store Operations Associate | Entry Level |  Logistics/Supply Chain |  Dark Store Operations |  Operations Associate |  Warehouse Associate |  E-commerce Operations |  Fulfillment Associate |  Inventory Control |  Order Fulfillment
Backoffice Chat Account (B2 English) Etisalat UAE,Etisalat Egypt,"Maadi, Cairo, Egypt","Full Time, On-site",Backoffice Chat Account (B2 English) Etisalat UAE | Entry Level |  Administration |  Banking |  Customer Service/Support |  Customer Service |  Customer Care |  Customer Support |  Customer Satisfaction |  Customer Retention |  Customer Relations |  Customer Service Management
Junior Accountant,Happet,"New Cairo, Cairo, Egypt","Full Time, On-site",Junior Accountant | Entry Level |  Accounting/Finance |  Finance |  Accounting |  Excel |  Google Sheets |  ecommerce |  Financial Management |  Financial Analysis |  Accounting Software |  GAAP
Sales Representative with car,Confidential,"Cairo, Egypt","Full Time, On-site",Sales Representative with car | Experienced |  Sales/Retail |  Sales representative |  Sales
"E-mail & Chat Account (Etisalat UAE) , B2 English speakers, Maadi",Etisalat Egypt,"Maadi, Cairo, Egypt","Full Time, On-site","E-mail & Chat Account (Etisalat UAE) , B2 English speakers, Maadi | Entry Level |  Administration |  Customer Service/Support |  Operations/Management |  Computer Skills |  chat |  Customer Care |  Customer Service |  Customer Support |  Mail |  English"
HR Manager,El Reefy Trading,"6th of October, Giza, Egypt","Full Time, On-site",HR Manager | Manager |  Human Resources |  Hr manager |  Human Resources |  human resources management |  Recruitment |  Payroll |  Personnel |  Communication
HR Section head,El Reefy Trading,"6th of October, Giza, Egypt","Full Time, On-site",HR Section head | Experienced |  Human Resources |  Human Resources |  HR |  Payroll |  Compensation and Benefits
"Etisalat UAE English Account (B1+) , Customer Service Representative , Maadi",Etisalat Egypt,"Maadi, Cairo, Egypt","Full Time, On-site","Etisalat UAE English Account (B1+) , Customer Service Representative , Maadi | Entry Level |  Administration |  Customer Service/Support |  Operations/Management |  Computer Skills |  chat |  Customer Care |  Customer Service |  Customer Support |  Mail |  English"
E-Commerce Account Manager,CRM,"Nasr City, Cairo, Egypt","Full Time, On-site",E-Commerce Account Manager | Experienced |  Sales/Retail |  business |  E-Commerce |  Sales
call center arabic 2025 e&,Etisalat Egypt,"6th of October, Giza, Egypt","Full Time, On-site",call center arabic 2025 e& | Entry Level |  Customer Service/Support |  Call Center |  Arabic |  Customer Care |  Customer Service |  Customer Support
Accounts Payable Accountant,Sea Port for Trading and Engineering,"New Cairo, Cairo, Egypt","Full Time, On-site",Accounts Payable Accountant | Experienced |  Accounting/Finance |  Operations/Management |  Accounting |  Accounts Payable |  Finance |  Payable
Dermatologist,Wazaf HR consultancy,"Dubai, United Arab Emirates","Full Time, Part Time, On-site",Dermatologist | Entry Level |  Medical/Healthcare |  Dermatologist |  Healthcare
Talent Acquisition Specialist,Millensys,"New Cairo, Cairo, Egypt","Full Time, On-site",Talent Acquisition Specialist | Experienced |  Human Resources |  Interviewing |  Recruitment |  Applicant Tracking Systems
Warehouse Accountant,Sea Port for Trading and Engineering,"Salam City, Cairo, Egypt","Full Time, On-site",Warehouse Accountant | Experienced |  Accounting/Finance |  Logistics/Supply Chain |  Accounting |  excel |  Warehouse |  Finance |  Financial Analysis
Senior Account Manager – Retail (HIKVISION),CRM,"Nasr City, Cairo, Egypt","Full Time, On-site",Senior Account Manager – Retail (HIKVISION) | Experienced |  Customer Service/Support |  Sales/Retail |  Sales |  Account Management |  sales skills |  Sales Target |  Communication |  Leadership |  negotiation skills |  Retail
Senior Account Manager - SMB (HIKVISION),CRM,"Nasr City, Cairo, Egypt","Full Time, On-site",Senior Account Manager - SMB (HIKVISION) | Experienced |  Sales/Retail |  Account Management |  Sales |  sales skills |  Sales Target |  Experience |  Skills
Production Manager,Arab Otsuka Nutraceuticals,"Cairo, Egypt","Full Time, On-site",Production Manager | Manager |  Manufacturing/Production |  Engineering |  Manufacturing |  Production Manager |  Production |  LEAN |  Lean manufacturing |  Operations |  Production Management |  FMCG
Customer Support Represntative - US Company,Horizons,"Nasr City, Cairo, Egypt","Full Time, On-site",Customer Support Represntative - US Company | Entry Level |  Customer Service/Support |  Communication skills |  computer |  Customer |  Customer Care |  Customer Service |  Customer Support |  English |  Support |  Typing
Branch General Manager,Smart GYM,"New Cairo, Cairo, Egypt","Full Time, On-site",Branch General Manager | Manager |  Customer Service/Support |  Operations/Management |  Sales/Retail |  Customer Service |  Customer Care |  Branch Management |  Customer Support |  English |  Team management |  Hospitality
Female Internal Auditor,Smart GYM,"New Cairo, Cairo, Egypt","Full Time, On-site",Female Internal Auditor | Experienced |  Accounting/Finance |  Administration |  Quality |  Accounting |  Financial Analysis |  Auditing |  CIA |  CPA |  Detail Oriented |  Quality Auditing
Mechanical Technical Office Engineer,Magaz,"New Cairo, Cairo, Egypt","Full Time, On-site","Mechanical Technical Office Engineer | Experienced |  Engineering - Mechanical/Electrical |  MEP |  MEP Engineering |  MEP Design |  Electrical Engineering |  Mechanical, Electrical, and Plumbing |  Mechanical Engineering |  Fit-Out |  fine finishes |  Construction Engineering"
E-mail&Chat advisor| Excellent English speakers|Etisalat UAE|Grads,Etisalat Egypt,"Maadi, Cairo, Egypt","Full Time, On-site",E-mail&Chat advisor| Excellent English speakers|Etisalat UAE|Grads | Entry Level |  Administration |  Customer Service/Support |  Operations/Management |  Customer Service |  english |  english speakers |  english account |  english education |  English Teaching |  English Literature
HR Specialist,Confidential,"Alexandria, Egypt","Full Time, On-site",HR Specialist | Experienced |  Human Resources |  Training/Instructor |  Human Resources |  HR Specialist |  HR |  Recruitment |  Payroll |  Human Resources (HR)
Receptionist (CSR),Tag dermatology clinic,"Giza, Giza, Egypt","Full Time, Shift Based, On-site",Receptionist (CSR) | Entry Level |  Administration |  Customer Service/Support |  Office management |  Administration |  Microsoft Office
Interior Design Project Manager,Segment interior design,"Sheraton, Cairo, Egypt","Full Time, On-site",Interior Design Project Manager | Manager |  Engineering - Construction/Civil/Architecture |  Creative/Design/Art |  Project/Program Management |  Architecture |  Design |  Project |  Engineering |  Project Management |  Development |  technical
Construction Accountant,Segment interior design,"Sheraton, Cairo, Egypt","Full Time, On-site",Construction Accountant | Experienced |  Accounting/Finance |  Administration |  Engineering - Construction/Civil/Architecture |  Accounting |  Finance |  excel |  Construction |  MS Excel
Digital Marketing Team Lead,Bnaia,"Maadi, Cairo, Egypt","Full Time, On-site",Digital Marketing Team Lead | Experienced |  Creative/Design/Art |  Marketing/PR/Advertising |  Digital Marketing |  digital marketing |  E-Marketing |  Digital |  Marketing |  Social Media |  Google Adwords |  Google Analytics
Call Center Agent,Etisalat Egypt,"Sheikh Zayed, Giza, Egypt","Full Time, On-site",Call Center Agent | Entry Level |  Customer Service/Support |  Customer Service |  Customer Support |  Customer Care |  Contact Center
Graphic Designer,Outservingplus,"Giza, Egypt","Full Time, On-site",Graphic Designer | Experienced |  Creative/Design/Art |  Marketing/PR/Advertising |  Media/Journalism/Publishing |  Adobe illustrator |  Adobe Photoshop |  Arts |  Design |  dreamweaver |  Fine Arts |  Graphic
Receptionist/Admin,Outservingplus,"Giza, Egypt","Full Time, On-site",Receptionist/Admin | Experienced |  Administration |  Customer Service/Support |  Hospitality/Hotels/Food Services |  Admin |  Administration |  Communication |  Front Office |  Management |  Microsoft |  Microsoft Office
Human Resources Generalist,Outservingplus,"Giza, Egypt","Full Time, On-site",Human Resources Generalist | Experienced |  Administration |  Customer Service/Support |  Human Resources |  HR |  HR Systems |  Human |  Human Resources |  Human Resources (HR) |  Labor |  Labor Law
Marketing Specialist,Outservingplus,"Giza, Egypt","Full Time, On-site",Marketing Specialist | Experienced |  Marketing/PR/Advertising |  Sales/Retail |  Media/Journalism/Publishing |  Communication |  Computer Skills |  Digital Marketing |  digital marketing |  E-Marketing |  Google Adwords |  HTML
Senior Operation Specialist (Tourism),Sun Pyramids Tours,"Faisal, Giza, Egypt","Full Time, On-site",Senior Operation Specialist (Tourism) | Experienced |  Tourism/Travel |  Operations |  Tourism
Sales Indoor/Retail,Outservingplus,"Giza, Egypt","Full Time, On-site",Sales Indoor/Retail | Experienced |  Sales/Retail |  Communication |  Communication skills |  Indoor Sales |  inventory |  Marketing |  Retail |  Retail Sales |  Sales |  Sales associate
Graphic Designer,Confidential,"Smouha, Alexandria, Egypt","Full Time, On-site",Graphic Designer | Experienced |  Creative/Design/Art |  Adobe Creative Suite |  Adobe Photoshop |  Adobe illustrator |  Graphic Design |  Graphic
Digital Marketing Specialist,Confidential,"Smouha, Alexandria, Egypt","Full Time, On-site",Digital Marketing Specialist | Experienced |  Marketing/PR/Advertising |  E-Marketing |  Google Analytics |  Digital Marketing |  Real Estate |  SEO |  Social Media |  Marketing Campaigns
Accounts Receivable Supervisor,Confidential,"Monufya, Egypt","Full Time, On-site",Accounts Receivable Supervisor | Experienced |  Accounting/Finance |  Pharmaceutical |  Accounts Receivable |  Financial Analysis |  Pharmaceutical |  Management |  Finance |  Accounts |  Accounting |  analytical
Financial Planning And Analysis Head,Confidential,"Monufya, Egypt","Full Time, On-site",Financial Planning And Analysis Head | Manager |  Accounting/Finance |  Analyst/Research |  Pharmaceutical |  Accounting |  Financial Management |  Financial Analysis |  Pharmaceutical |  Planning |  Financial |  Finance
Front End Developer,Engaz,"Mokattam, Cairo, Egypt","Full Time, Hybrid",Front End Developer | Experienced |  IT/Software Development |  Engineering - Telecom/Technology |  Computer Science |  Development |  Information Technology (IT) |  JavaScript |  Software |  Software Development |  Front-End Development |  Angular
personal assistant,English Zone,"Dokki, Giza, Egypt","Full Time, On-site",personal assistant | Experienced |  Administration |  Operations/Management |  communications |  English |  Administration |  Management |  Microsoft Office |  Office management |  Personal |  Secretary
Client Relation Specialist - Real Estate,Upwyde,"New Cairo, Cairo, Egypt","Full Time, On-site",Client Relation Specialist - Real Estate | Experienced |  Customer Service/Support |  Customer Service |  Negotiation |  Real Estate |  Client Relationships |  Client Relationship Management |  Community Management |  Residential Projects |  Industry |  Marketing
Technical Office Engineer,Pronox,"10th of Ramadan City, Sharqia, Egypt","Full Time, On-site",Technical Office Engineer | Entry Level |  Manufacturing/Production |  Engineering - Mechanical/Electrical |  Engineering |  Manufacturing |  AutoCAD |  AutoCAD 2D |  AutoCAD Design |  Technical Office
Training Coordinator,Brooklen business shool,"Abbassia, Cairo, Egypt","Full Time, On-site",Training Coordinator | Experienced |  Administration |  Customer Service/Support |  Customer Service |  Call Center |  Microsoft Office |  business |  Administration |  Sales |  Customer Support |  English
Media buying - software Applications,Confidential,"Nasr City, Cairo, Egypt","Full Time, Hybrid",Media buying - software Applications | Experienced |  Marketing/PR/Advertising |  Media/Journalism/Publishing |  Marketing |  Google Analytics |  Media Buying |  SEM |  SEO |  Social Media |  Digital Marketing |  digital marketing
Digital Learning Quality Lead,Nahdet Misr Publishing Group,"Mohandessin, Giza, Egypt","Full Time, On-site",Digital Learning Quality Lead | Experienced |  Quality |  Communication |  Computer Science |  Digital |  UI |  UX |  tester |  content tester |  Quality Assurance |  e- learning
Executive Assistant & HR Specialist,IMOCO,"Nasr City, Cairo, Egypt","Full Time, On-site",Executive Assistant & HR Specialist | Experienced |  Administration |  Human Resources |  Operations/Management |  Human Resources (HR) |  Administration |  Communication skills |  administrative |  English |  Secretary |  Project Management
IT Software developer,Confidential,"Dokki, Giza, Egypt","Full Time, On-site",IT Software developer | Experienced |  Engineering - Construction/Civil/Architecture |  IT/Software Development |  Quality |  IT support help desk |  software developer |  Network Engineering |  computer |  Information technology |  Computer Science |  Information Technology (IT)
Dental Operators /Masters & PHD Holders,Shiny White Dental Center,"Cairo, Egypt","Full Time, On-site",Dental Operators /Masters & PHD Holders | Experienced |  Operations/Management |  Medical/Healthcare |  Dentistry |  Dental Implant |  Dental Care |  Cosmetic Dentistry |  oral medicine |  dentist |  fixed prothdontics |  implantology
Sales Export Manager,Confidential,"Heliopolis, Cairo, Egypt","Full Time, On-site",Sales Export Manager | Manager |  Operations/Management |  Sales/Retail |  Export Sales |  Negotiation |  Sales Management |  Operations |  Sales Target
Telesales Agent,English Zone,"Dokki, Giza, Egypt","Full Time, On-site",Telesales Agent | Experienced |  Education/Teaching |  Customer Service |  negotiation skills |  Sales |  sales skills |  Telesales |  Communication |  Negotiation |  Customer |  Skills
Ground Handler - Russian Speaker,KTS International,"Nozha, Cairo, Egypt","Full Time, On-site",Ground Handler - Russian Speaker | Experienced |  Hospitality/Hotels/Food Services |  Tourism/Travel |  Tourism |  Russian Speaker |  Personal Assistance |  Airport Services
Civil Draftsman,System Technique,"Abu Rawash, Giza, Egypt","Full Time, On-site",Civil Draftsman | Experienced |  Engineering - Construction/Civil/Architecture |  AutoCAD |  Analysis |  Civil Engineering |  Draftsman
